distro,rolling_release,fixed_release,based_on_debian,based_on_arch,based_on_rhel,independent_base,uses_systemd,uses_apt,uses_pacman,uses_rpm,gnome_default,kde_default,xfce_default,no_default_desktop,lightweight_low_resource,beginner_friendly,security_privacy_focused,gaming_focused,server_enterprise_focused,immutable_filesystem,commercial_backing,gui_installer_friendly,terminal_first_experience,released_before_2010,released_after_2015,uses_sysvinit_or_openrc_or_runit,minimalist_by_design,developer_focused,good_for_old_hardware,suitable_for_servers_no_gui,would_you_compile_your_own_kernel_for_fun,do_you_enjoy_reading_man_pages,do_you_cry_when_updates_break_your_desktop,would_you_survive_without_a_mouse,do_you_own_a_mechanical_keyboard,do_you_have_strong_opinions_about_init_systems,would_you_name_your_pet_after_a_linux_kernel_version,do_you_distro_hop_often,would_you_trust_this_os_on_your_grandmas_laptop,do_you_like_customizing_your_desktop_for_hours,would_you_use_this_to_hack_the_planet,do_you_believe_less_is_more,would_you_recommend_this_to_your_boss,do_you_get_excited_about_new_package_managers,would_this_os_survive_a_zombie_apocalypse_offline,do_you_secretly_want_to_use_arch_btw,would_you_trust_it_to_run_a_nuclear_reactor,do_you_enjoy_breaking_things_and_fixing_them,would_you_install_this_on_a_potato,do_you_want_your_os_to_just_work_and_stay_out_of_the_way,ubuntu_family,made_for_gaming_handhelds,declarative_configuration,privacy_live_session,upstream_of_ubuntu,cinnamon_desktop,pantheon_desktop,windows_like_desktop,centos_stream_model,rocky_enterprise_clone,almalinux_enterprise_clone,ubuntu_xfce_flavor,ubuntu_mate_flavor,mandriva_descendant,feren_kde_desktop,base_family,release_model,primary_package_manager,default_desktop_name,default_init,project_website,data_quality,as_of_date
Ubuntu,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,,0,0,1,0,1,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,debian,fixed,apt,GNOME,systemd,https://ubuntu.com/,curated; subjective columns intentionally blank,2026-09-16
Debian,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,,0,0,1,0,0,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,independent,fixed,apt,GNOME,systemd,https://www.debian.org/,curated; subjective columns intentionally blank,2026-09-16
Fedora,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,,0,0,0,0,1,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,independent,fixed,dnf,GNOME,systemd,https://fedoraproject.org/,curated; subjective columns intentionally blank,2026-09-16
Arch Linux,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,,0,0,0,0,0,,1,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,independent,rolling,pacman,none,systemd,https://archlinux.org/,curated; subjective columns intentionally blank,2026-09-16
Manjaro,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,,0,0,0,0,0,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,arch,rolling,pacman,Xfce,systemd,https://manjaro.org/,curated; subjective columns intentionally blank,2026-09-16
Linux Mint,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,,0,0,0,0,0,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,1,0,,0,0,0,0,0,0,0,ubuntu,fixed,apt,Cinnamon,systemd,https://linuxmint.com/,curated; subjective columns intentionally blank,2026-09-16
openSUSE Tumbleweed,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,,0,0,0,0,1,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,independent,rolling,zypper,KDE Plasma,systemd,https://get.opensuse.org/tumbleweed/,curated; subjective columns intentionally blank,2026-09-16
openSUSE Leap,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,,0,0,1,0,1,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,independent,fixed,zypper,KDE Plasma,systemd,https://get.opensuse.org/leap/,curated; subjective columns intentionally blank,2026-09-16
Pop!_OS,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,,0,0,0,0,1,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,ubuntu,fixed,apt,COSMIC,systemd,https://system76.com/pop/,curated; subjective columns intentionally blank,2026-09-16
elementary OS,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,,0,0,0,0,0,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,1,,0,0,0,0,0,0,0,ubuntu,fixed,apt,Pantheon,systemd,https://elementary.io/,curated; subjective columns intentionally blank,2026-09-16
Zorin OS,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,,0,0,0,0,0,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,ubuntu,fixed,apt,GNOME,systemd,https://zorin.com/os/,curated; subjective columns intentionally blank,2026-09-16
